                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.8687,                 1.5525,                 1.1994,                0.64579,                0.58301,                0.53653,                0.22351,                 1.9242,                 1.4576,                 1.3235,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.8407,                 1.5028,                 1.1859,                0.61675,                0.50193,                0.48901,                0.18613,                 2.0913,                 1.5936,                 1.3954,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.8913,                 1.5363,                 1.1984,                0.64204,                0.59653,                0.55616,                0.22381,                 2.0068,                 1.4347,                 1.3488,                0.00167,                0.00167,                0.00167
                     52,                  1.842,                 1.5126,                 1.1805,                0.62581,                 0.4843,                0.50716,                0.20134,                 2.0366,                 1.6237,                 1.3721,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.8856,                 1.5441,                  1.203,                0.61528,                0.52124,                0.50882,                 0.2087,                 1.9667,                 1.5582,                  1.343,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.8642,                 1.5195,                 1.1869,                0.58351,                0.53552,                0.50059,                 0.1902,                 2.0457,                 1.5828,                 1.3865,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.8506,                 1.4944,                 1.2004,                0.55244,                0.53376,                0.44253,                0.16411,                 2.0247,                 1.6205,                 1.3667,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.8221,                 1.5204,                 1.1873,                0.53664,                0.50579,                0.47448,                0.19813,                 1.9551,                 1.5279,                 1.3321,               0.001637,               0.001637,               0.001637
                     57,                 1.8446,                 1.5046,                 1.1792,                0.59609,                 0.4749,                0.50478,                0.22261,                  1.972,                 1.5521,                 1.3518,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.8557,                 1.5009,                 1.1839,                0.57992,                0.57915,                0.51277,                0.19221,                 2.0797,                 1.4609,                 1.3959,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.8397,                 1.5176,                 1.1906,                0.60372,                0.50386,                 0.5146,                0.21427,                 2.0048,                 1.4946,                 1.3562,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.8479,                 1.4927,                 1.1881,                0.65133,                0.55405,                0.54431,                0.23253,                  1.937,                 1.4328,                  1.321,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.8518,                 1.5313,                 1.1847,                0.61814,                0.48437,                0.50647,                 0.2065,                 2.0039,                  1.601,                 1.3635,               0.001604,               0.001604,               0.001604
                     62,                 1.8344,                 1.4946,                 1.1725,                0.65896,                0.57143,                0.55624,                0.24036,                 1.9361,                 1.4258,                 1.3089,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.8451,                 1.5202,                 1.1781,                0.62219,                0.49228,                0.51909,                0.20316,                 2.0053,                 1.5238,                 1.3617,              0.0015908,              0.0015908,              0.0015908
                     64,                  1.809,                   1.46,                  1.186,                0.65798,                0.57566,                0.54951,                0.24169,                  1.918,                 1.4502,                 1.3148,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.8043,                 1.4611,                 1.1697,                0.66315,                0.51931,                0.53752,                0.21823,                 1.9491,                 1.4471,                  1.327,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.8176,                 1.4694,                 1.1775,                0.63541,                0.57529,                0.53908,                0.20365,                  2.026,                 1.4592,                 1.3695,               0.001571,               0.001571,               0.001571
                     67,                 1.8249,                  1.492,                 1.1757,                0.58154,                0.54729,                0.50992,                0.19444,                 1.9613,                 1.5457,                 1.3377,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.7998,                 1.4307,                 1.1583,                0.57734,                0.58301,                0.50029,                0.19806,                 1.9831,                 1.4711,                 1.3453,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.8243,                 1.4907,                  1.179,                0.57854,                0.52471,                0.50329,                0.20517,                 2.0343,                 1.5953,                 1.3611,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.7975,                 1.4474,                 1.1734,                0.64552,                 0.5888,                0.54327,                0.21438,                 1.9545,                 1.4349,                 1.3202,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.7994,                 1.4486,                 1.1711,                0.64185,                0.52703,                0.49156,                0.19699,                 2.0103,                 1.5652,                 1.3641,               0.001538,               0.001538,               0.001538
                     72,                 1.8213,                 1.4688,                 1.1846,                0.59993,                0.50579,                0.47603,                0.18564,                 2.0511,                 1.6205,                 1.3763,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.8006,                 1.4866,                 1.1839,                0.66965,                0.54633,                 0.5246,                0.21521,                 1.9997,                 1.4321,                 1.3453,              0.0015248,              0.0015248,              0.0015248
                     74,                  1.819,                 1.4262,                  1.166,                0.66588,                0.51544,                0.51954,                0.20424,                 2.0919,                 1.5199,                 1.3979,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.7867,                 1.4486,                 1.1613,                0.63996,                0.55932,                0.51705,                0.19338,                 2.0686,                 1.4843,                 1.3959,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.7974,                 1.4275,                 1.1791,                0.62921,                0.53089,                0.50197,                0.19651,                 2.0787,                 1.5009,                 1.3912,               0.001505,               0.001505,               0.001505
                     77,                 1.7922,                 1.4733,                 1.1843,                  0.623,                0.59846,                0.53992,                0.22486,                 1.9735,                 1.4226,                 1.3252,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.7872,                 1.4365,                 1.1683,                0.63466,                0.57336,                0.52761,                0.21601,                 2.0398,                 1.4486,                 1.3727,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.8133,                 1.4556,                 1.1682,                0.66114,                0.54826,                0.50461,                0.18139,                 2.0796,                 1.5127,                 1.4036,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.7894,                 1.4582,                 1.1745,                0.65074,                0.54633,                0.53825,                0.22204,                 1.9837,                 1.4935,                  1.345,              0.0014786,              0.0014786,              0.0014786
                     81,                  1.806,                 1.4403,                 1.1649,                0.64367,                0.56178,                 0.5451,                0.21672,                 2.0216,                 1.4289,                  1.363,               0.001472,               0.001472,               0.001472
                     82,                 1.7733,                 1.4228,                 1.1639,                0.63635,                0.56753,                0.54844,                0.21079,                 2.0352,                  1.466,                 1.3619,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.7855,                 1.4533,                  1.157,                0.66951,                 0.5444,                0.55522,                0.24118,                 1.9398,                 1.4168,                 1.3353,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.7914,                 1.4593,                 1.1753,                0.62967,                0.52191,                0.50744,                0.20055,                  2.073,                 1.5608,                  1.403,              0.0014522,              0.0014522,              0.0014522
                     85,                  1.776,                 1.4244,                 1.1543,                0.65397,                0.52703,                 0.5304,                0.22441,                 1.9708,                 1.5275,                 1.3376,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.7838,                 1.4345,                 1.1555,                0.59527,                0.53861,                 0.5176,                 0.2029,                 1.9821,                 1.5433,                 1.3322,               0.001439,               0.001439,               0.001439
                     87,                 1.7876,                 1.4211,                 1.1647,                0.68743,                0.58687,                0.57584,                0.22907,                 1.9772,                 1.3904,                 1.3432,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.7636,                  1.396,                 1.1602,                0.65862,                0.56757,                0.53263,                0.19799,                 2.0813,                 1.4588,                 1.3994,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.7547,                  1.395,                 1.1469,                0.60941,                0.56564,                 0.5404,                 0.2137,                  2.033,                 1.4671,                 1.3679,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.7562,                 1.4085,                 1.1568,                0.56275,                0.53915,                0.49099,                0.18987,                 2.0635,                 1.5327,                 1.3887,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.7615,                 1.4225,                 1.1443,                0.58495,                0.55231,                 0.4984,                0.18979,                 2.0383,                 1.5017,                 1.3711,               0.001406,               0.001406,               0.001406
                     92,                 1.7679,                 1.4275,                 1.1507,                0.70885,                 0.5828,                0.58638,                0.22995,                 2.0033,                 1.3674,                 1.3604,              0.0013994,              0.0013994,              0.0013994
                     93,                  1.754,                 1.4137,                 1.1506,                0.65564,                0.55133,                 0.5684,                0.21986,                 2.0253,                 1.4123,                 1.3778,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.7469,                  1.392,                 1.1602,                0.59219,                 0.5251,                0.48877,                0.17316,                 2.1371,                 1.5716,                 1.4241,              0.0013862,              0.0013862,              0.0013862
                     95,                   1.76,                  1.363,                 1.1617,                0.67604,                0.56401,                0.54949,                0.20157,                 2.0764,                 1.4442,                 1.3952,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.7261,                 1.3919,                  1.151,                 0.6358,                0.57143,                0.51648,                0.18178,                  2.133,                 1.4999,                 1.4331,               0.001373,               0.001373,               0.001373
                     97,                  1.755,                 1.3921,                 1.1474,                0.61367,                0.51544,                0.48942,                0.18122,                  2.047,                 1.5061,                 1.3899,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.7471,                 1.3503,                 1.1625,                0.67929,                0.49228,                0.50259,                0.18133,                 2.1028,                 1.6325,                   1.42,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.7555,                 1.3907,                 1.1555,                0.63608,                0.55019,                0.51786,                0.19518,                 2.0027,                 1.5083,                 1.3548,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.7478,                 1.3335,                 1.1539,                0.60821,                0.52124,                0.47091,                0.16953,                 2.1798,                 1.5903,                 1.4592,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.7445,                 1.3367,                 1.1462,                0.64975,                0.56585,                 0.5435,                0.20354,                 2.0642,                 1.4715,                 1.3841,                0.00134,                0.00134,                0.00134
                    102,                 1.7454,                 1.3574,                 1.1605,                0.66522,                0.60618,                0.54971,                0.21806,                 1.9528,                  1.395,                 1.3302,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.7411,                 1.3309,                 1.1486,                0.65865,                0.52895,                0.54513,                0.22283,                 1.9654,                 1.4497,                 1.3377,              0.0013268,              0.0013268,              0.0013268
                    104,                  1.738,                 1.3644,                 1.1449,                0.62158,                0.59653,                 0.5233,                0.17857,                 2.1744,                 1.4816,                 1.4653,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.7782,                 1.3939,                 1.1673,                0.67554,                0.57879,                0.53644,                0.20139,                 2.1011,                 1.3958,                 1.4236,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.7457,                 1.3614,                 1.1575,                0.66737,                0.60232,                0.55266,                0.22604,                 1.9531,                 1.3727,                 1.3258,               0.001307,               0.001307,               0.001307
                    107,                 1.7413,                 1.3762,                 1.1353,                0.59472,                0.54054,                0.50634,                0.19485,                 2.0093,                  1.479,                 1.3713,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.7134,                 1.3533,                 1.1341,                0.63535,                0.54247,                0.51894,                0.19751,                 2.0733,                 1.5515,                 1.4046,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.7073,                 1.3552,                 1.1257,                0.64623,                0.55792,                0.53197,                0.21655,                 1.9748,                 1.4682,                 1.3389,              0.0012872,              0.0012872,              0.0012872
                    110,                  1.729,                 1.3306,                  1.136,                0.66994,                0.54075,                0.54357,                0.21521,                 2.0929,                 1.4486,                 1.4025,              0.0012806,              0.0012806,              0.0012806
