                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.9555,                 2.3877,                 1.8114,                 1.2639,                0.39431,                0.24924,                0.24556,                0.07608,                0.42547,                0.26444,                0.25501,                0.07432,                 2.5564,                 3.0548,                 2.6695,                  1.454,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.9288,                 2.3494,                 1.8454,                 1.2594,                0.37333,                0.31307,                0.22517,                0.06459,                0.38176,                0.29179,                0.21936,                0.06311,                 2.7222,                 3.1801,                 2.6127,                 1.5387,              0.0017228,              0.0017228,              0.0017228
                     44,                  1.931,                  2.376,                 1.8603,                 1.2736,                0.35253,                0.27964,                0.23473,                0.06606,                0.36785,                0.29179,                0.24228,                0.06528,                  2.633,                 3.0877,                 2.5119,                 1.4524,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.9479,                 2.3754,                 1.8141,                  1.257,                 0.3358,                0.28571,                0.21319,                0.05639,                0.35183,                0.30395,                0.21452,                 0.0581,                 2.6308,                 3.0719,                 2.5373,                 1.4902,              0.0017096,              0.0017096,              0.0017096
                     46,                    1.9,                 2.3237,                 1.7736,                  1.254,                0.27432,                0.21277,                0.15661,                0.04922,                0.30861,                0.23708,                0.17561,                0.05036,                 2.9317,                 3.5088,                 2.6335,                 1.6867,               0.001703,               0.001703,               0.001703
                     47,                 1.9288,                 2.3713,                 1.7767,                 1.2451,                 0.2914,                0.27356,                0.19535,                0.04951,                0.28976,                0.28571,                0.18558,                0.04965,                 2.6687,                 3.2102,                 2.8071,                 1.5057,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.9052,                  2.332,                 1.8007,                 1.2135,                0.34718,                0.29179,                0.23779,                0.06948,                0.35441,                0.29787,                0.22923,                0.06366,                 2.5894,                 3.1605,                 2.4842,                 1.4429,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.9379,                 2.3253,                 1.8161,                 1.2468,                 0.2908,                0.30699,                0.21361,                0.06309,                0.28764,                0.29787,                0.21074,                0.06043,                  2.658,                 3.1181,                 2.4804,                 1.4594,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.8968,                 2.3212,                 1.7801,                 1.2374,                0.31201,                0.28267,                0.20069,                0.06251,                0.36378,                 0.3024,                0.23627,                0.07231,                 2.6273,                 3.0058,                 2.5736,                 1.4912,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.8872,                 2.3167,                 1.7336,                 1.2452,                 0.3209,                0.21688,                0.17597,                0.05294,                0.35238,                0.23816,                0.19938,                0.05642,                 2.7514,                 3.2695,                 2.8546,                 1.5206,                0.00167,                0.00167,                0.00167
                     52,                 1.9345,                 2.3271,                 1.7323,                 1.2196,                 0.3826,                0.30091,                0.20319,                0.05603,                0.35981,                0.28875,                0.18772,                 0.0523,                 2.5505,                 3.2115,                 2.6927,                 1.4461,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.9183,                 2.3508,                 1.7599,                 1.2326,                 0.2626,                0.24924,                0.16751,                0.05574,                0.26401,                0.24924,                0.16319,                0.05375,                 2.6857,                 3.2247,                 2.5943,                 1.5109,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.9066,                 2.3042,                 1.7491,                 1.2417,                0.38147,                0.30395,                0.23508,                 0.0664,                0.37286,                0.30699,                0.22746,                0.05954,                 2.6984,                 3.1846,                 2.7442,                 1.4944,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.9318,                 2.3252,                 1.7658,                 1.2455,                 0.2958,                0.20061,                0.14747,                0.03803,                0.28439,                0.22188,                0.14763,                0.03723,                 2.7174,                 3.2436,                 2.6931,                 1.5633,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.9027,                 2.3299,                 1.7275,                  1.228,                 0.2991,                0.28267,                0.18782,                0.05429,                0.30157,                0.33131,                 0.2037,                0.05663,                 2.6867,                 3.2585,                 2.7128,                 1.4845,               0.001637,               0.001637,               0.001637
                     57,                 1.9284,                 2.3119,                 1.7452,                 1.2437,                0.37054,                0.33739,                0.25801,                0.07563,                0.35551,                0.34043,                0.25324,                0.07266,                  2.585,                 3.0498,                 2.5899,                  1.448,              0.0016304,              0.0016304,              0.0016304
                     58,                  1.913,                 2.3708,                 1.7471,                  1.236,                0.44049,                0.31003,                0.28924,                0.08294,                 0.4299,                0.30485,                0.29036,                0.08165,                 2.4427,                 2.9784,                 2.4221,                 1.3852,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.9012,                 2.4065,                 1.7671,                 1.2335,                0.37267,                0.32523,                0.23574,                0.06821,                0.41441,                0.33131,                0.27235,                0.07184,                 2.6685,                 3.2383,                 2.5942,                 1.4859,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.8876,                 2.3181,                 1.6797,                 1.2202,                0.37068,                0.35866,                0.27646,                0.08088,                0.37063,                0.36474,                0.27027,                0.07343,                 2.6321,                 3.2505,                 2.4924,                  1.499,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.8852,                 2.3013,                 1.6985,                 1.2261,                 0.3306,                0.21581,                0.16219,                0.04538,                0.31444,                0.20669,                0.16339,                0.04564,                 2.8957,                 3.5356,                 2.6465,                 1.6504,               0.001604,               0.001604,               0.001604
                     62,                 1.8773,                 2.2884,                 1.6881,                 1.2227,                0.27125,                0.25228,                0.17885,                0.05111,                0.26611,                0.26444,                0.17468,                0.05207,                 2.7253,                  3.254,                 2.5832,                 1.5238,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.8679,                 2.2639,                  1.657,                 1.2329,                0.37037,                0.29483,                0.22005,                0.06299,                0.33328,                0.31452,                0.22823,                0.06498,                 2.6525,                 3.0795,                 2.4944,                 1.5183,              0.0015908,              0.0015908,              0.0015908
                     64,                  1.863,                 2.2808,                 1.6949,                 1.2097,                0.30027,                 0.2462,                0.17076,                0.05125,                0.28783,                 0.2462,                0.17273,                0.04946,                 2.7428,                 3.3774,                 2.6623,                 1.5351,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.8565,                 2.2431,                 1.6471,                 1.2161,                0.27812,                0.24012,                0.15743,                0.04528,                0.28746,                0.25506,                0.16595,                0.05018,                 3.0248,                 3.3553,                 2.5372,                 1.7304,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.8829,                 2.3104,                 1.6401,                 1.2256,                0.27236,                0.31307,                0.18062,                0.05653,                0.31054,                0.28571,                  0.178,                0.05288,                 2.6107,                 3.1981,                  2.528,                 1.4921,               0.001571,               0.001571,               0.001571
                     67,                 1.8464,                 2.3005,                  1.653,                 1.2125,                0.33389,                0.30699,                 0.2203,                 0.0663,                0.35372,                0.32523,                0.24506,                0.06744,                 2.7265,                 3.2754,                 2.4759,                  1.528,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.8533,                 2.2802,                 1.6752,                  1.219,                0.28665,                0.18541,                0.14452,                0.04381,                0.26859,                0.21581,                0.15898,                0.04477,                 3.1304,                 3.5686,                 2.8627,                 1.8046,              0.0015578,              0.0015578,              0.0015578
                     69,                  1.867,                 2.2405,                 1.6498,                 1.2134,                0.29767,                0.25228,                0.17882,                0.04668,                0.27899,                 0.2462,                0.16167,                0.04483,                 2.8614,                 3.4261,                 2.6568,                  1.625,              0.0015512,              0.0015512,              0.0015512
                     70,                  1.847,                 2.3016,                 1.6514,                 1.2012,                0.31539,                0.32219,                0.19982,                0.05302,                0.34305,                 0.3349,                0.22615,                0.06004,                 2.8087,                 3.2745,                 2.5805,                  1.598,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.8364,                 2.3049,                 1.6754,                 1.2068,                0.42778,                0.29085,                0.23941,                0.07223,                0.44172,                0.30091,                0.25561,                0.07384,                 2.6043,                 3.0601,                 2.3804,                 1.5033,               0.001538,               0.001538,               0.001538
                     72,                  1.852,                 2.2487,                 1.6577,                 1.2269,                0.28748,                0.31003,                0.16765,                0.04922,                0.28545,                0.30091,                0.17069,                0.05094,                 2.8541,                 3.4954,                 3.0094,                 1.6275,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.8561,                 2.2425,                 1.6412,                 1.2146,                0.36778,                0.28571,                0.19566,                0.05973,                0.37037,                0.30091,                0.20863,                0.05729,                 2.6972,                 3.3482,                 2.9704,                 1.5387,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.8276,                 2.2536,                    1.6,                 1.2081,                0.35931,                0.23708,                0.17571,                0.05311,                0.39004,                0.26748,                0.20422,                0.05495,                 2.8229,                   3.39,                 2.6355,                 1.5964,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.8341,                 2.2446,                 1.6043,                 1.2244,                0.30066,                0.26748,                0.18661,                0.05384,                0.31432,                0.27964,                0.19844,                0.05321,                 2.7734,                 3.3099,                 2.5549,                 1.6072,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.8442,                 2.2532,                 1.6167,                 1.2054,                0.26238,                0.25836,                0.15601,                0.04758,                0.28387,                 0.2766,                0.16195,                0.04648,                 2.7493,                  3.395,                 2.7363,                  1.575,               0.001505,               0.001505,               0.001505
                     77,                 1.8131,                 2.2069,                 1.5567,                 1.1975,                0.36345,                0.33435,                0.25987,                0.07687,                 0.3586,                0.33137,                 0.2527,                0.07775,                 2.6268,                  3.255,                 2.4073,                 1.5209,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.8411,                 2.2151,                 1.6398,                 1.2198,                0.32003,                0.30395,                0.20501,                0.05814,                0.31683,                0.30091,                0.20061,                 0.0593,                 2.7495,                 3.6208,                 2.7407,                  1.574,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.8256,                 2.2107,                 1.6107,                 1.2041,                0.30814,                0.25228,                0.16003,                0.04837,                 0.3077,                0.26444,                0.16884,                0.04889,                 2.8639,                 3.4343,                 2.7304,                 1.6474,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.8373,                 2.2337,                 1.6099,                 1.2066,                0.27129,                0.29179,                0.18195,                0.05541,                 0.2821,                0.31003,                0.19384,                 0.0551,                 2.7572,                 3.5128,                 2.5783,                 1.5602,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.8382,                 2.2581,                 1.6173,                 1.2085,                0.34833,                0.35258,                0.25611,                0.07839,                0.36369,                0.35961,                0.27827,                0.07636,                 2.6675,                 3.2735,                 2.5231,                 1.5309,               0.001472,               0.001472,               0.001472
                     82,                 1.7931,                 2.1909,                 1.6055,                 1.1892,                0.23414,                0.22492,                0.15581,                0.04884,                0.24901,                0.24012,                 0.1655,                0.04835,                 2.8331,                 3.3511,                 2.8124,                 1.6334,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.8332,                 2.2678,                 1.6203,                 1.1992,                0.25228,                 0.2614,                0.15786,                0.04326,                0.28477,                0.27052,                0.16898,                0.04402,                 2.9486,                 3.7087,                 2.8467,                  1.714,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.8464,                 2.2457,                 1.5665,                 1.2101,                0.41819,                0.27356,                 0.2276,                0.06418,                0.42656,                 0.2766,                0.23637,                0.06648,                 2.8219,                 3.3467,                 2.6207,                 1.6239,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.8331,                 2.2436,                 1.6464,                 1.1993,                0.43268,                 0.2766,                 0.2255,                 0.0696,                0.44317,                0.29179,                0.24411,                0.06794,                 2.6618,                 3.1951,                 2.5482,                 1.4946,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.7987,                  2.216,                 1.5583,                 1.1851,                0.34532,                0.30395,                0.23024,                0.06671,                 0.3521,                0.31611,                0.25126,                0.07249,                  2.753,                 3.3117,                 2.4188,                  1.567,               0.001439,               0.001439,               0.001439
                     87,                 1.8358,                 2.1886,                 1.5235,                 1.2071,                0.28414,                 0.2614,                0.16112,                 0.0452,                0.29585,                0.27329,                0.16869,                0.04996,                 3.0446,                 3.6396,                 2.5711,                 1.7536,              0.0014324,              0.0014324,              0.0014324
                     88,                  1.822,                  2.189,                 1.5463,                 1.1998,                0.28855,                0.27356,                0.18878,                0.05723,                0.30463,                0.30493,                0.21447,                0.06061,                 2.7933,                 3.3934,                 2.5957,                 1.5921,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.8121,                 2.2036,                 1.5839,                 1.1942,                 0.4193,                0.30091,                0.27627,                0.08251,                0.41783,                0.30091,                0.27878,                0.08261,                 2.6231,                 3.2507,                 2.5886,                 1.4857,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.8167,                  2.202,                 1.5462,                 1.1934,                0.37646,                0.33131,                 0.2471,                0.06726,                0.39643,                0.33739,                 0.2514,                0.06232,                  2.741,                 3.2589,                 2.5269,                 1.5699,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.8181,                 2.1761,                 1.5689,                 1.2008,                0.32711,                0.30699,                0.20249,                 0.0638,                0.31601,                0.27805,                0.19038,                 0.0589,                 2.7272,                 3.7428,                  2.582,                 1.5548,               0.001406,               0.001406,               0.001406
                     92,                 1.7926,                 2.1968,                 1.5468,                  1.183,                0.30627,                0.25228,                0.18552,                0.05726,                0.32337,                 0.2614,                0.19025,                 0.0598,                 2.7768,                 3.4561,                 2.9258,                  1.598,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.7939,                  2.205,                 1.5301,                  1.184,                0.24602,                0.22492,                0.14525,                0.05079,                0.21986,                0.24316,                0.14614,                0.04923,                  2.949,                 3.6092,                 2.8063,                 1.7383,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.8113,                 2.2058,                 1.6005,                 1.1941,                0.36218,                0.26444,                0.22143,                0.06544,                0.33914,                0.25228,                0.21142,                0.06337,                 2.7914,                 3.4497,                 2.5375,                 1.5926,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.7661,                 2.2201,                 1.5187,                 1.1832,                0.35121,                 0.2614,                0.20156,                0.06172,                0.35607,                 0.2614,                0.20076,                0.05836,                 2.8152,                 3.2901,                 2.5214,                 1.6019,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.7209,                 2.2057,                 1.5104,                 1.1683,                0.24826,                0.25836,                0.14881,                0.04209,                0.27423,                0.28267,                0.15667,                0.04434,                 2.8816,                 3.7134,                 2.8628,                 1.6875,               0.001373,               0.001373,               0.001373
                     97,                 1.7751,                 2.1976,                 1.5686,                  1.175,                0.29576,                0.27052,                0.17764,                0.05437,                 0.2717,                0.26444,                0.15734,                0.04943,                 2.8372,                  3.597,                 2.6031,                 1.6637,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.7906,                 2.2215,                 1.5393,                 1.2046,                 0.4008,                0.35562,                0.25631,                0.08385,                0.40034,                 0.3617,                0.27318,                0.08499,                 2.7254,                 3.1778,                 2.3143,                 1.5459,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.7717,                 2.1627,                 1.5275,                 1.1811,                0.28801,                0.24012,                0.15128,                0.04695,                0.28137,                0.26748,                0.15919,                0.04857,                 2.8609,                 3.7472,                  2.688,                 1.6397,              0.0013532,              0.0013532,              0.0013532
                    100,                  1.782,                  2.142,                 1.5606,                 1.1714,                0.29862,                 0.2614,                0.18572,                0.05704,                0.29923,                0.23708,                0.16465,                0.04958,                 2.9896,                 3.7506,                 2.5375,                 1.7514,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.7763,                 2.1947,                 1.5174,                 1.1927,                0.34151,                0.31307,                0.21858,                0.06122,                0.33156,                0.30395,                0.20542,                0.06161,                 2.7643,                 3.3151,                 2.5129,                 1.5587,                0.00134,                0.00134,                0.00134
                    102,                 1.7736,                 2.1894,                 1.5102,                 1.1759,                0.26951,                0.23404,                0.14437,                0.04567,                0.29183,                0.24316,                0.14698,                0.04528,                 2.9027,                 3.5304,                 2.7605,                 1.6841,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.7543,                 2.1842,                 1.5338,                 1.1722,                0.32575,                0.31307,                0.21774,                0.05697,                0.32384,                0.31307,                0.22188,                0.06067,                 2.8327,                 3.4588,                 2.5148,                 1.6331,              0.0013268,              0.0013268,              0.0013268
                    104,                  1.751,                 2.1424,                 1.5136,                 1.1667,                0.24083,                0.25228,                0.13827,                 0.0418,                0.23439,                0.24316,                0.12505,                0.03729,                 2.9705,                 3.8438,                 2.8055,                 1.7667,              0.0013202,              0.0013202,              0.0013202
